"id";"name";"genitive";"locativus";"level";"parent";"children";"neighbours";"RSPOstateId";"RSPOdistrictId"
"320900";"Powiat koszaliński";"powiatu koszalińskiego";"powiecie koszalińskim";"p";"320000";;"320800,326100,321300,221200,321500,320100,220100";16;367
"321000";"Powiat myśliborski";"powiatu myśliborskiego";"powiecie myśliborskim";"p";"320000";;"321200,321400,080600,080100,320600,320200";16;368
"321100";"Powiat policki";"powiatu polickiego";"powiecie polickim";"p";"320000";;"326200,326300,320400,320600";16;369
"321200";"Powiat pyrzycki";"powiatu pyrzyckiego";"powiecie pyrzyckim";"p";"320000";;"321000,321400,320600";16;370
"321300";"Powiat sławieński";"powiatu sławieńskiego";"powiecie sławieńskim";"p";"320000";;"320900,221200";16;371
"321400";"Powiat stargardzki";"powiatu stargardzkiego";"powiecie stargardzkim";"p";"320000";;"321200,321800,321000,326200,320300,320400,320600,320200";16;372
"321500";"Powiat szczecinecki";"powiatu szczecineckiego";"powiecie szczecineckim";"p";"320000";;"320900,303100,321600,220300,320300,320100,220100";16;373
"321600";"Powiat świdwiński";"powiatu świdwińskiego";"powiecie świdwińskim";"p";"320000";;"320800,321800,321500,320300,320100";16;374
"321700";"Powiat wałecki";"powiatu wałeckiego";"powiecie wałeckim";"p";"320000";;"301900,303100,080600,300200,320300,320200";16;375
"321800";"Powiat łobeski";"powiatu łobeskiego";"powiecie łobeskim";"p";"320000";;"320800,321400,321600,320300,320400,320500";16;376
"326100";"Koszalin";"Koszalina";"Koszalinie";"p";"320000";;"320900";16;377
"326200";"Szczecin";"Szczecina";"Szczecinie";"p";"320000";;"321100,321400,320400,320600";16;378
"326300";"Świnoujście";"Świnoujścia";"Świnoujściu";"p";"320000";;"321100,320400,320700";16;379
